Type,Date,Code_Departement,Commune,Area (ha),Cause,ID_new
Foret,2020-03-31,26,CURNIER,1.0,Accidentelle,1
Foret,2020-04-02,13,FARE-LES-OLIVIERS (LA),0.1,Vehicules,2
Foret,2020-04-02,13,SAINT-CANNAT,0.12,Travaux (Particuliers),4
Foret,2020-04-03,26,GRIGNAN,0.3,Malveillance,8
Foret,2020-04-04,26,VINSOBRES,1.53,Travaux Agricoles,10
Foret,2020-04-04,26,AUTICHAMP,1.1,Travaux Agricoles,11
Foret,2020-04-05,34,SALVETAT-SUR-AGOUT (LA),0.2736,Travaux Industriels/Publics,13
Foret,2020-04-05,2A,OTA,0.01,Depot d'Ordures,14
Foret,2020-04-06,7,SAINT-PIERREVILLE,0.05,Jet D'Objets Incandescents,15
Foret,2020-04-06,48,SAINT-PIERRE-DES-TRIPIERS,1.0,Reprise Incendie,16
Foret,2020-04-07,83,FAYENCE,0.6,Travaux (Particuliers),20
Foret,2020-04-07,66,LATOUR-DE-FRANCE,0.5,Travaux Agricoles,22
Foret,2020-04-07,34,LAGAMAS,0.7092,Travaux Agricoles,23
Foret,2020-04-09,7,LANARCE,1.0,Travaux Agricoles,27
Foret,2020-04-09,34,SAINT-JEAN-DE-CUCULLES,1.2673,Travaux Industriels/Publics,31
Foret,2020-04-10,26,VENTEROL,0.5,Malveillance,36
Foret,2020-04-10,13,TARASCON,0.2,Travaux (Particuliers),37
Foret,2020-04-11,48,SAINT-ANDEOL-DE-CLERGUEMORT,0.79,Pyromanie,41
Foret,2020-04-12,2A,ZONZA,0.01,Travaux (Particuliers),45
Foret,2020-04-13,84,VALREAS,0.86,Vehicules,47
Foret,2020-04-13,83,CADIERE-D'AZUR (LA),0.01,Travaux (Particuliers),48
Foret,2020-04-14,2A,APPIETTO,0.008,Travaux Agricoles,49
Foret,2020-04-14,26,AULAN,0.34,Malveillance,50
Foret,2020-04-15,48,MOLEZON,9.34,Jet D'Objets Incandescents,51
Foret,2020-04-15,83,ENTRECASTEAUX,0.35,Travaux Forestiers,52
Foret,2020-04-15,83,LUC (LE),0.002,Loisirs (Particuliers),53
Foret,2020-04-15,7,JOANNAS,0.4,Travaux (Particuliers),54
Foret,2020-04-16,2A,SARTENE,0.003,Travaux (Particuliers),55
Foret,2020-04-16,2A,OLIVESE,0.15,Depot d'Ordures,59
Foret,2020-04-17,2A,ARBORI,0.05,Travaux (Particuliers),61
Foret,2020-04-18,2A,BOCOGNANO,0.04,Travaux (Particuliers),64
Foret,2020-04-18,83,NANS-LES-PINS,0.0002,Loisirs (Particuliers),65
Foret,2020-04-18,2A,BOCOGNANO,0.0001,Reprise Incendie,66
Foret,2020-04-24,83,SEILLANS,0.15,Travaux (Particuliers),67
Foret,2020-05-05,2A,CARGESE,0.003,Travaux (Particuliers),71
Foret,2020-05-06,2A,COZZANO,0.01,Travaux (Particuliers),72
Foret,2020-05-08,2A,PIANA,0.003,Travaux (Particuliers),74
Foret,2020-05-08,83,SAINT-ANTONIN-DU-VAR,0.185,Travaux (Particuliers),75
Foret,2020-05-10,2A,AMBIEGNA,0.01,Travaux Agricoles,76
Foret,2020-05-10,2A,OTA,0.01,Travaux (Particuliers),77
Foret,2020-05-19,34,VENDEMIAN,1.2191,Travaux Forestiers,78
Foret,2020-05-21,7,SAINT-ANDEOL-DE-VALS,0.2,Loisirs (Particuliers),80
Foret,2020-05-23,2A,SAINTE-LUCIE-DE-TALLANO,0.04,Travaux (Particuliers),81
Foret,2020-05-24,83,COLLOBRIERES,0.016,Conflit,83
Foret,2020-05-25,13,MARTIGUES,0.02,Malveillance,84
Foret,2020-05-25,48,CHANAC,0.006,Travaux Agricoles,85
Foret,2020-05-25,13,SAINT-MARTIN-DE-CRAU,0.0012,Vehicules,86
Foret,2020-05-26,13,EGUILLES,0.001,Vehicules,87
Foret,2020-05-26,2A,APPIETTO,0.01,Travaux (Particuliers),88
Foret,2020-05-29,13,LAMBESC,0.02,Loisirs (Particuliers),91
Foret,2020-05-29,83,BRIGNOLES,0.0002,Travaux (Particuliers),92
Foret,2020-05-30,7,MONTSELGUES,0.2,Travaux (Particuliers),93
Foret,2020-05-31,7,FAUGERES,0.01,Lignes Electriques,94
Foret,2020-06-03,48,SAINT-ETIENNE-VALLEE-FRANCAISE,0.04,Foudre,99
Foret,2020-06-05,2B,AGHIONE,89.82,Malveillance,101
Foret,2020-06-06,5,SAINT-ANDRE-D'EMBRUN,0.05,Reprise Incendie,102
Foret,2020-06-07,13,PORT-DE-BOUC,0.0142,Vehicules,103
Foret,2020-06-08,66,RIVESALTES,0.7,Malveillance,104
Foret,2020-06-10,2A,COGGIA,1.374,Travaux (Particuliers),107
Foret,2020-06-10,13,MARTIGUES,0.1,Malveillance,109
Foret,2020-06-10,13,SALON-DE-PROVENCE,0.002,Malveillance,110
Foret,2020-06-11,13,SALON-DE-PROVENCE,0.001,Jet D'Objets Incandescents,111
Foret,2020-06-12,66,RIVESALTES,1.0,Chemin De Fer,113
Foret,2020-06-12,66,RIVESALTES,0.25,Chemin De Fer,115
Foret,2020-06-14,2A,VICO,0.0475,Travaux (Particuliers),120
Foret,2020-06-15,13,MARTIGUES,0.021,Malveillance,122
Foret,2020-06-15,66,CORNEILLA-LA-RIVIERE,0.5,Travaux Forestiers,123
Foret,2020-06-15,84,PIOLENC,0.26,Involontaire (particulier),125
Foret,2020-06-16,2A,SERRIERA,0.03,Depot d'Ordures,126
Foret,2020-06-17,83,CROIX-VALMER (LA),0.005,Travaux Industriels/Publics,127
Foret,2020-06-17,34,LODEVE,0.2008,Loisirs (Particuliers),128
Foret,2020-06-17,13,PENNES-MIRABEAU (LES),0.05,Jet D'Objets Incandescents,130
Foret,2020-06-17,34,SAINT-JEAN-DE-LA-BLAQUIERE,0.0463,Malveillance,131
Foret,2020-06-19,2A,SOTTA,0.008,Involontaire (particulier),135
Foret,2020-06-19,2A,CAURO,0.03,Travaux (Particuliers),136
Foret,2020-06-19,2A,APPIETTO,0.1,Travaux Industriels/Publics,137
Foret,2020-06-19,34,JONCELS,0.0236,Vehicules,138
Foret,2020-06-20,2A,PORTO-VECCHIO,0.05,Vehicules,139
Foret,2020-06-20,83,CARNOULES,0.3,Involontaire (particulier),140
Foret,2020-06-21,2A,ZOZA,0.01,Travaux (Particuliers),144
Foret,2020-06-22,13,BOUC-BEL-AIR,0.0005,Jet D'Objets Incandescents,147
Foret,2020-06-22,13,VITROLLES,0.001,Loisirs (Particuliers),148
Foret,2020-06-22,6,CANNES,0.1,Travaux Forestiers,150
Foret,2020-06-22,2A,LECCI,0.3,Travaux (Particuliers),151
Foret,2020-06-22,2A,PIANA,0.0215,Travaux (Particuliers),152
Foret,2020-06-23,2B,AGHIONE,0.1,Travaux Agricoles,154
Foret,2020-06-24,13,TARASCON,0.001,Vehicules,156
Foret,2020-06-24,2A,FOZZANO,0.02,Travaux (Particuliers),157
Foret,2020-06-24,13,CHARLEVAL,0.0002,Jet D'Objets Incandescents,158
Foret,2020-06-24,2A,VERO,0.0001,Travaux (Particuliers),159
Foret,2020-06-24,13,EGUILLES,0.2,Chemin De Fer,162
Foret,2020-06-24,13,SALON-DE-PROVENCE,0.004,Malveillance,163
Foret,2020-06-25,13,PUY-SAINTE-REPARADE (LE),0.015,Jet D'Objets Incandescents,165
Foret,2020-06-26,13,MIMET,0.002,Vehicules,167
Foret,2020-06-26,13,PORT-DE-BOUC,6.2,Travaux Agricoles,168
Foret,2020-06-26,26,BAUME-DE-TRANSIT (LA),1.04,Involontaire (particulier),169
Foret,2020-06-26,2A,ALATA,0.25,Travaux Industriels/Publics,170
Foret,2020-06-26,13,PENNES-MIRABEAU (LES),0.002,Jet D'Objets Incandescents,172
Foret,2020-06-26,13,PUYLOUBIER,0.15,Jet D'Objets Incandescents,173
Foret,2020-06-27,48,CHANAC,0.015,Loisirs (Particuliers),176
Foret,2020-06-28,13,AIX-EN-PROVENCE,0.0005,Jet D'Objets Incandescents,177
